NOMBRE;DIRECCIÓN;POBLACIÓN;PROVINCIA;CÓDIGO POSTAL;TELÉFONO;EMAIL;WEB;PRESIDENTE;GMaps;COMENTARIOS;WKT
FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE Almería;"Carretera del Mami s/n. Complejo Alzheimer ""José Bueno"";La Cañada;Almería;4120;950292669 - 610700374;alzheimeralmeria@msn.com;;Esther Fernández Granero;https://goo.gl/maps/RePSihsWV6r;;POINT(-2.4373219999999947 36.8473018)
ASOCIACION DE FAMILIARES DE PERSONAS CON ALZHEIMER NUEVA VIDA;C/Los Niños 2  CENTRO SERVICIOS SOCIALES;Pulpí;Almería;4640;950465210;alzheimerpulpi@hotmail.com;;Mª Dolores Soler Ortiz;https://goo.gl/maps/QQf9dFPnVsw;;POINT(-1.7434438000000227, 37.4112777)
ASOCIACIÓN AMIGOS ALZHEIMER DE ROQUETAS DE MAR, VICAR, LA MOJONERA, FELIX Y ENIX;Avda. Reino de España, 184 PASAJE POLONIA 14 BAJO;Roquetas de Mar;Almería;04740;950326035 - 618024289;alzheimeroquetas@gmail.com;http://www.alzheimeroquetas.org;Blanca Pérez Escañuela;https://goo.gl/maps/6cDgGo4LVQp;;POINT(-2.608267899999987 36.7754718)
Asociación Amigos de Alzheimer y otras demencias de Almería;Carretera del Mami s/n. Complejo Alzheimer ""José Bueno";La Cañada;Almería;4120;950292669 - 610700374;alzheimeralmeria@msn.com;http://www.alzheimeralmeria.org;Esther Fernández Granero;;;POINT(-2.4373219999999947 36.8473018)
ASOCIACIÓN COMARCAL AMIGOS/AS DEL ALZHEIMER DE CUEVAS DEL ALMANZORA. “ACAALCU”;C/ Sor Paz, 4;Cuevas Almanzora;Almería;4610;629259085;alzheimer.calmanzora@gmail.com;;Francisco Gazques Larios;https://goo.gl/maps/LLpRBgxLPwo;;POINT(-1.8746307000000115 37.2949417)
ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE EL EJIDO;C/ Antonio Torres, 1;El Ejido;Almería;4700;950102624 - 628281357;alzheimer_elejido@hotmail.com;;Silvia Ferreiro Martínez;https://goo.gl/maps/tbQ5S84WX9A2;;POINT(-2.8013100000000577, 36.76142)
Asociación de Familiares de Enfermos de Alzheimer y otras Demencias de Huércal – Overa;C/ Carretera, 116 - Edificio Costa Fleming, Portal 2 Bis;Huércal-Overa;Almería;4600;950616117 - 622391694;alzheimerhovera@gmail.com;;Vicente Parra Sánchez;https://goo.gl/maps/BovGYsTQEaD2;;POINT(-1.941699999999969 37.391055)
ASOCIACIÓN DE FAMILIARES DE PACIENTES AFECTADOS DE ALZHEIMER DE LA COMARCA DE LOS VÉLEZ (AFACOVE);Plaza Omar;Vélez Rubio;Almería;4820;950410859 - 608434402;afacove@gmail.com;http://www.afacove.com;Diego Sánchez Molina;https://goo.gl/maps/6fZ5Eeqmxs82;;POINT(-2.0787769999999455 37.6496854)
FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE CÁDIZ;C/ Argentina, 19;San Fernando;Cádiz;11100;956594649 - 956594649;secretaria@afavitae.org - cadiz@alzheimerandalucia.org;;Maria Pepa Rodríguez Castañeda;https://goo.gl/maps/CTqsWrMhM7k;;POINT(-6.216810600000031 36.4496521)
Asociación de Familiares de Enfermos de Alzheimer “Hermana Agustina de Jesús”;C/ Martín de Cantillana, 6;Villamartín;Cádiz;11650;956733247 - 956733247;afavillamartin@andaluciajunta.es;;Francisco M. Perea Perea;https://goo.gl/maps/9XhYT439Vf72;;POINT(-5.6475864999999885 36.8614497)
ASOCIACION DE FAMILIARES DE ALZHEIMER BARREÑO;VIRGEN DE FÁTIMA FASE 2 PLAZA MARIQUIQUI LOCAL 19/20;Los Barrios;Cádiz;11370;956628333 - 619841472;afalosbarrios@gmail.com;;ALFONSO CARLOS ACOSTA TOCÓN;https://goo.gl/maps/yfR83frc2Zr;;POINT(-5.492557300000044 36.1850645)
Asociación de Familiares de Alzheimer y otras demencias Recuérdame;Avda. Las Cortes, S/N. Edificio El Silo;Medina Sidonia;Cádiz;11170;662245329 - 637457714;mammetar@hotmail.com - afarecuerdame@hotmail.com;;Josefa Reyes Jimenez;https://goo.gl/maps/cynBs4A7X5S2;;POINT(-5.929303399999981 36.4661397)
"Asociación de Familiares de Enfermos de Alzheimer ""La Merced""";AVDA. PUERTAS DEL SUR, 56;Jerez Frontera;Cádiz;11408;956335164 - 600416065;afaalzheimerjerez@hotmail.com - info@alzheimerjerez.com;http://alzheimerjerez.com;Mª Angeles Contreras Jiménez;https://goo.gl/maps/6gbvxsHGAWE2;;POINT(-6.136822400000028 36.6685942)
Asociación de Familiares de Alzheimer y Otras Demencias de EL Puerto de Santa María;C/ Durango, 27 (Plaza Virginia Hernández);Puerto Santa María;Cádiz;11500;956877940 - 601062462;afapuerto@yahoo.es;http://www.afapuerto.org;Mª Pilar Corrales Toro;https://goo.gl/maps/zEjAQFoGD1t;;POINT(-6.232331499999987 36.6007782)
"Asociación de Familiares de Enfermos de Alzheimer ""Renacer""";C/ NUEVA, EDIFICIO COMUNITARIO, 1ª PLANTA;San José del Valle;Cádiz;11580;606552366;afa.renacer@gmail.com;;Josefa Barrera Durán;https://goo.gl/maps/XZjMYpKy6LG2;;POINT(-5.801025399999958 36.6060308)
"Asociación de Familiares de Enfermos de Alzheimer ""San Paulino""";Paseo Marítimo 65-A;Barbate;Cádiz;11160;956434844 - 686956019;afasanpaubarbate@hotmail.com;http://www.afasanpaulino.org/;Antonio Callado Relinque;https://goo.gl/maps/KuDh2rbc2PL2;;POINT(-5.917634000000021 36.186431)
Asociación de familiares de enfermos de Alzheimer AFCG;C/ Dr. Alois Alzheimer, 2;Algeciras;Cádiz;11204;956633421;afaalgeciras@ono.com;http://alzheimeralgeciras.com/;Carmen González Medina;https://goo.gl/maps/kg4RF71ydt82;;POINT(-5.454252300000007 36.1432348)
